Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 30 Apr 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
SN,Loan product,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,,,,,
1,Gold Loans,82697,836.5688167208999,836.5380562198999,1,0,0,0.030760501000000003,0,0,0,0.030760501000000003,0,0,0,0,0.030760501000000003,3.6769839354725155e-05,0.030760501000000003,3.6769839354725155e-05,,,,,,
2,Group Loans,176590,676.795320034703,675.475030084703,395,0,0,1.3202899499999998,0.754709255,0.18772697800000002,0.185636884,0.095485085,0.023726644,0.002898359,0.033365737,0.036741008,1.3202899499999998,0.0019507965124999703,0.192216833,0.000284010286876901,,,,,,
3,MSME - LAP Loans,887,43.877382378,42.926817871,20,0,0,0.9505645069999998,0.385503253,0.087657023,0.22056268599999998,0.054711226,0.113713766,0.053604321999999996,0.034812231,0,0.9505645069999998,0.021664111564608974,0.256841545,0.005853620500588012,,,,,,
4,PL-UnSecured ,69143,73.018961893,73.018961893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
5,MSME - Business Loans,11020,60.9187966500001,59.4663155540001,232,0,0,1.4524810959999999,0.409309753,0.302773756,0.336813164,0.184749525,0.156387897,0.030763352,0.031683649,0,1.4524810959999999,0.023842905242285307,0.40358442299999997,0.006624957241337749,,,,,,
6,MSME - Home Loans,1141,50.185827966999994,50.185827966999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
7,Corporate Loans,3,3.6977951270000005,3.6977951270000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8,Consumer Loans,4588,2.69592092,2.6878439199999997,11,0,0,0.008077,0.00425,0.002063,0.000404,0,0.0012,0,0.00016,0,0.008077,0.002996007761236558,0.0013599999999999999,0.0005044658357412057,,,,,,
,Total,346069,1747.758821690603,1743.9966486366031,659,0,0,3.762173054,1.553772261,0.5802207570000001,0.7434167339999999,0.365706337,0.29502830699999993,0.08726603299999999,0.10002161700000001,0.036741008,3.762173054,0.002152569912570007,0.884763302,0.0005062273415643072,,,,,,
JLG Loans are more in number as such these loans have higher PAR ,,0,-7.685230229981244e-11,-7.685230229981244e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,9.454242944073599e-17,0,2.222614453595284e-17,,,,,,
Loan Cyclewise Break-up,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
